prototype_id,function_name,constant_index,constant_type,original_repr,readable_repr,decoded_value,equal
P00,<chunk>,1,number,17,17,17,true
P00,<chunk>,2,number,34,34,34,true
P00,<chunk>,3,number,23,23,23,true
P00,<chunk>,4,number,0,0,0,true
P00,<chunk>,5,number,1,1,1,true
P00,<chunk>,6,string,"""""","""""",,true
P00,<chunk>,7,string,"""_G""","""_G""",_G,true
P00,<chunk>,8,string,"""_ENV""","""_ENV""",_ENV,true
P00,<chunk>,9,string,"""tonumber""","""tonumber""",tonumber,true
P01,startup_iife,1,string,"""def""","""def""",def,true
P01,startup_iife,2,string,"""showUserAgreement""","""showUserAgreement""",showUserAgreement,true
P01,startup_iife,3,string,"""argeementText""","""argeementText""",argeementText,true
P01,startup_iife,4,string,"""        \228\184\128\227\128\129\228\184\141\229\190\151\229\136\169\231\148\168\230\156\172\232\189\175\228\187\182\230\136\150\230\156\172\232\189\175\228\187\182\230\156\141\229\138\161\229\136\182\228\189\156\227\128\129\228\184\138\232\189\189\227\128\129\229\164\141\229\136\182\227\128\129\229\143\145\233\128\129\229\166\130\228\184\139\229\134\133\229\174\185\239\188\154\n        (1) \229\143\141\229\175\185\229\174\170\230\179\149\230\137\128\231\161\174\229\174\154\231\154\132\229\159\186\230\156\172\229\142\159\229\136\153\231\154\132\239\188\155\n        (2) \229\141\177\229\174\179\229\155\189\229\174\182\229\174\137\229\133\168\239\188\140\230\179\132\233\156\178\229\155\189\229\174\182\231\167\152\229\175\134\239\188\140\233\162\160\232\166\134\229\155\189\229\174\182\230\148\191\230\157\131\239\188\140\231\160\180\229\157\143\229\155\189\229\174\182\231\187\159\228\184\128\231\154\132\239\188\155\n        (3) \230\141\159\229\174\179\229\155\189\229\174\182\232\141\163\232\170\137\229\146\140\229\136\169\231\155\138\231\154\132\239\188\155\n        (4) \231\133\189\229\138\168\230\176\145\230\151\143\228\187\135\230\129\168\227\128\129\230\176\145\230\151\143\230\173\167\232\167\134\239\188\140\231\160\180\229\157\143\230\176\145\230\151\143\229\155\162\231\187\147\231\154\132\239\188\155\n        (5) \231\160\180\229\157\143\229\155\189\229\174\182\229\174\151\230\149\153\230\148\191\231\173\150\239\188\140\229\174\163\230\137\172\233\130\170\230\149\153\229\146\140\229\176\129\229\187\186\232\191\183\228\191\161\231\154\132\239\188\155\n        (6) \230\149\163\229\184\131\232\176\163\232\168\128\239\188\140\230\137\176\228\185\177\231\164\190\228\188\154\231\167\169\229\186\143\239\188\140\231\160\180\229\157\143\231\164\190\228\188\154\231\168\179\229\174\154\231\154\132\239\188\155\n        (7) \230\149\163\229\184\131\230\183\171\231\167\189\227\128\129\232\137\178\230\131\133\227\128\129\232\181\140\229\141\154\227\128\129\230\154\180\229\138\155\227\128\129\229\135\182\230\157\128\227\128\129\230\129\144\230\128\150\230\136\150\232\128\133\230\149\153\229\148\134\231\138\175\231\189\170\231\154\132\239\188\155\n        (8) \228\190\174\232\190\177\230\136\150\232\128\133\232\175\189\232\176\164\228\187\150\228\186\186\239\188\140\228\190\181\229\174\179\228\187\150\228\186\186\229\144\136\230\179\149\230\157\131\231\155\138\231\154\132\239\188\155\n        (9) \229\144\171\230\156\137\230\179\149\229\190\139\227\128\129\232\161\140\230\148\191\230\179\149\232\167\132\231\166\129\230\173\162\231\154\132\229\133\182\228\187\150\229\134\133\229\174\185\231\154\132\228\191\161\230\129\175\227\128\130\n        \228\186\140\227\128\129\230\156\172\230\184\184\230\136\143\230\137\128\230\156\137\231\180\160\230\157\144\229\157\135\230\157\165\232\135\170\228\186\146\232\129\148\231\189\145\239\188\140\229\166\130\233\129\135\228\190\181\230\157\131\232\175\183\232\129\148\231\179\187GM\229\136\160\233\153\164\227\128\130\n        \228\184\137\227\128\129\232\139\165\230\130\168\229\175\185\230\156\172\230\184\184\230\136\143\229\143\138\230\156\172\230\156\141\229\138\161\230\156\137\228\187\187\228\189\149\230\132\143\232\167\129\239\188\140\230\172\162\232\191\142\232\129\148\231\179\187\230\184\184\230\136\143\231\149\140\233\157\162\228\184\173\231\154\132\229\174\162\230\156\141\232\129\148\231\179\187\230\150\185\229\188\143\227\128\130\n    ""","""        \228\184\128\227\128\129\228\184\141\229\190\151\229\136\169\231\148\168\230\156\172\232\189\175\228\187\182\230\136\150\230\156\172\232\189\175\228\187\182\230\156\141\229\138\161\229\136\182\228\189\156\227\128\129\228\184\138\232\189\189\227\128\129\229\164\141\229\136\182\227\128\129\229\143\145\233\128\129\229\166\130\228\184\139\229\134\133\229\174\185\239\188\154\n        (1) \229\143\141\229\175\185\229\174\170\230\179\149\230\137\128\231\161\174\229\174\154\231\154\132\229\159\186\230\156\172\229\142\159\229\136\153\231\154\132\239\188\155\n        (2) \229\141\177\229\174\179\229\155\189\229\174\182\229\174\137\229\133\168\239\188\140\230\179\132\233\156\178\229\155\189\229\174\182\231\167\152\229\175\134\239\188\140\233\162\160\232\166\134\229\155\189\229\174\182\230\148\191\230\157\131\239\188\140\231\160\180\229\157\143\229\155\189\229\174\182\231\187\159\228\184\128\231\154\132\239\188\155\n        (3) \230\141\159\229\174\179\229\155\189\229\174\182\232\141\163\232\170\137\229\146\140\229\136\169\231\155\138\231\154\132\239\188\155\n        (4) \231\133\189\229\138\168\230\176\145\230\151\143\228\187\135\230\129\168\227\128\129\230\176\145\230\151\143\230\173\167\232\167\134\239\188\140\231\160\180\229\157\143\230\176\145\230\151\143\229\155\162\231\187\147\231\154\132\239\188\155\n        (5) \231\160\180\229\157\143\229\155\189\229\174\182\229\174\151\230\149\153\230\148\191\231\173\150\239\188\140\229\174\163\230\137\172\233\130\170\230\149\153\229\146\140\229\176\129\229\187\186\232\191\183\228\191\161\231\154\132\239\188\155\n        (6) \230\149\163\229\184\131\232\176\163\232\168\128\239\188\140\230\137\176\228\185\177\231\164\190\228\188\154\231\167\169\229\186\143\239\188\140\231\160\180\229\157\143\231\164\190\228\188\154\231\168\179\229\174\154\231\154\132\239\188\155\n        (7) \230\149\163\229\184\131\230\183\171\231\167\189\227\128\129\232\137\178\230\131\133\227\128\129\232\181\140\229\141\154\227\128\129\230\154\180\229\138\155\227\128\129\229\135\182\230\157\128\227\128\129\230\129\144\230\128\150\230\136\150\232\128\133\230\149\153\229\148\134\231\138\175\231\189\170\231\154\132\239\188\155\n        (8) \228\190\174\232\190\177\230\136\150\232\128\133\232\175\189\232\176\164\228\187\150\228\186\186\239\188\140\228\190\181\229\174\179\228\187\150\228\186\186\229\144\136\230\179\149\230\157\131\231\155\138\231\154\132\239\188\155\n        (9) \229\144\171\230\156\137\230\179\149\229\190\139\227\128\129\232\161\140\230\148\191\230\179\149\232\167\132\231\166\129\230\173\162\231\154\132\229\133\182\228\187\150\229\134\133\229\174\185\231\154\132\228\191\161\230\129\175\227\128\130\n        \228\186\140\227\128\129\230\156\172\230\184\184\230\136\143\230\137\128\230\156\137\231\180\160\230\157\144\229\157\135\230\157\165\232\135\170\228\186\146\232\129\148\231\189\145\239\188\140\229\166\130\233\129\135\228\190\181\230\157\131\232\175\183\232\129\148\231\179\187GM\229\136\160\233\153\164\227\128\130\n        \228\184\137\227\128\129\232\139\165\230\130\168\229\175\185\230\156\172\230\184\184\230\136\143\229\143\138\230\156\172\230\156\141\229\138\161\230\156\137\228\187\187\228\189\149\230\132\143\232\167\129\239\188\140\230\172\162\232\191\142\232\129\148\231\179\187\230\184\184\230\136\143\231\149\140\233\157\162\228\184\173\231\154\132\229\174\162\230\156\141\232\129\148\231\179\187\230\150\185\229\188\143\227\128\130\n    ""","        一、不得利用本软件或本软件服务制作、上载、复制、发送如下内容：
        (1) 反对宪法所确定的基本原则的；
        (2) 危害国家安全，泄露国家秘密，颠覆国家政权，破坏国家统一的；
        (3) 损害国家荣誉和利益的；
        (4) 煽动民族仇恨、民族歧视，破坏民族团结的；
        (5) 破坏国家宗教政策，宣扬邪教和封建迷信的；
        (6) 散布谣言，扰乱社会秩序，破坏社会稳定的；
        (7) 散布淫秽、色情、赌博、暴力、凶杀、恐怖或者教唆犯罪的；
        (8) 侮辱或者诽谤他人，侵害他人合法权益的；
        (9) 含有法律、行政法规禁止的其他内容的信息。
        二、本游戏所有素材均来自互联网，如遇侵权请联系GM删除。
        三、若您对本游戏及本服务有任何意见，欢迎联系游戏界面中的客服联系方式。
    ",true
P01,startup_iife,5,string,"""http://go.zejiang.wang/gv6""","""http://go.zejiang.wang/gv6""",http://go.zejiang.wang/gv6,true
P01,startup_iife,6,string,"""http://gate.zejiang.wang:88/gv6""","""http://gate.zejiang.wang:88/gv6""",http://gate.zejiang.wang:88/gv6,true
P01,startup_iife,7,string,"""81""","""81""",81,true
P01,startup_iife,8,string,"""88""","""88""",88,true
P01,startup_iife,9,string,"""89""","""89""",89,true
P01,startup_iife,10,string,"""90""","""90""",90,true
P01,startup_iife,11,string,"""91""","""91""",91,true
P01,startup_iife,12,string,"""92""","""92""",92,true
P01,startup_iife,13,string,"""93""","""93""",93,true
P01,startup_iife,14,string,"""94""","""94""",94,true
P01,startup_iife,15,string,"""http://tm2.zejiang.wang/gv6""","""http://tm2.zejiang.wang/gv6""",http://tm2.zejiang.wang/gv6,true
P01,startup_iife,16,string,"""http://tm3.zejiang.wang/gv6""","""http://tm3.zejiang.wang/gv6""",http://tm3.zejiang.wang/gv6,true
P01,startup_iife,17,string,"""http://sng.zejiang.wang:99/gv6""","""http://sng.zejiang.wang:99/gv6""",http://sng.zejiang.wang:99/gv6,true
P01,startup_iife,18,string,"""4""","""4""",4,true
P01,startup_iife,19,string,"""1""","""1""",1,true
P01,startup_iife,20,string,"""device""","""device""",device,true
P01,startup_iife,21,string,"""writablePath""","""writablePath""",writablePath,true
P01,startup_iife,22,string,"""cache/ao/""","""cache/ao/""",cache/ao/,true
P01,startup_iife,23,string,"""getinfo""","""getinfo""",getinfo,true
