issue_id,severity,classification,readable_locations,description,present_in_original,introduced_by_rewrite,dynamically_reproduced,strict_equivalent_file_intentionally_preserves_it
CORE-BUG-001,high,definite inherited bug,200->206; 313->319; 497->503,"cjson.decode nil invokes fallback, then falls through and indexes response_json.version/content.",true,false,true,true
CORE-RISK-002,high,inherited exception/type-handling risk,198-206; 311-319; 495-503,cjson.decode is unprotected; an exception or truthy non-table result aborts/errors before format fallback can complete.,true,false,false,true
CORE-RISK-003,medium,inherited retry/availability risk,169-176; 278-287; 462-472,"Failed backup requests with force_refresh=false can resubmit without an explicit retry cap, delay, or backoff.",true,false,false,true
CORE-RISK-004,medium,inherited resource-management risk,83-90,write_file returns on a nil write result without closing the already-open file handle.,true,false,false,true
CORE-RISK-005,high,inherited non-returning API assumption,80; 96; 101; 109; 186-188; 435-442,Statements can follow core_func_exit/core_func_byby; safe control flow assumes those host APIs never return (the backup kill token path has no explicit return).,true,false,false,true
CORE-RISK-006,medium,inherited error-handling risk,417-418,The pcall success flag key_derivation_ok is ignored before core_archive_key is concatenated and used.,true,false,false,true
CORE-RISK-007,medium,inherited availability risk,181-183; 294-296; 477-479,Non-200 HTTP responses return silently without retry or fallback in that callback.,true,false,false,true
CORE-RISK-008,medium,inherited persistence-integrity risk,83-95; 142-146; 220-223; 333-336; 517-520,"Cache write return values are ignored and files are replaced directly rather than atomically, allowing stale/partial cache state.",true,false,false,true
CORE-RISK-009,high,inherited archive-loading risk,438-453,Core archive decrypt/write/ZIP-load/remove results are not validated; optional hookcore ZIP is loaded without a visible authenticity check.,true,false,false,true
CORE-RISK-010,medium,inherited nil/type-contract risk,235-260; 348-373; 532-556; UUID helpers,"gplus MD5, UUID reads/writes, gate IP, and crypto return values are concatenated without comprehensive nil/type validation.",true,false,false,true
CORE-RISK-011,medium,inherited identifier-predictability risk,237-246; 350-359; 533-542,"When bzuuid is absent, the identifier seed is only os.time() at second precision before MD5, so it is predictable and collision-prone.",true,false,false,true
CORE-BEHAVIOR-012,critical,preserved security-sensitive design,36-43; 71-81; 99-110; network callbacks; 448-453,"Plain-HTTP responses are decrypted and executed through load/pcall, and hookcore ZIP can be loaded, with no separate signature/authenticity verification visible in Lua.",true,false,true,true
CORE-RISK-013,medium,inherited protocol-encoding risk,251-267; 364-380; 547-561,POST bodies are manually concatenated without visible percent-encoding; Base64 and other field characters may depend on host API/server parsing behavior.,true,false,false,true
CORE-RISK-014,medium,inherited anti-hook coverage risk,72-76; 83-90; 435-444,"Some getinfo checks inspect a related API while execution uses a wrapper or object method, so the exact invoked implementation is not always the checked object.",true,false,false,true
CORE-BEHAVIOR-015,high,preserved remote kill-switch behavior,186-188; 298-301; 482-484,A fixed server response token invokes core_func_exit in all three network callback families.,true,false,true,true
CORE-CONTRACT-016,informational,preserved host-environment dependency,14-17; throughout,Execution depends on LuaJIT/Lua 5.1 behavior and many nonstandard game-host globals/APIs; the source is not a standalone Lua program.,true,false,true,true
